Transaction_ID,Date,Client_ID,Account_Number,Transaction_Type,Amount,Currency,Exchange_Rate,Amount_in_USD,Client_Sector,Client_Industry,Region,Country,City,Branch_Code,Transaction_Status,Employee_ID,Employee_Role,Risk_Score,Fraud_Flag,Approval_Status,Settlement_Date,Maturity_Date,Interest_Rate,Collateral_Type,Loan_Type,Purpose
1,2023-01-01,4174,1415008,Transfer,566215.77,GBP,0.58,328405.15,Corporate,Finance,Asia,Germany,New York,618,Completed,474,Associate,0.887,1,Pending,2023-01-02,2024-01-01,0.037,Bonds,Short-term,Debt Refinancing
2,2023-01-02,4507,2631993,Transfer,929215.57,GBP,0.8595,798660.78,SME,Technology,Europe,Japan,New York,492,Pending,332,Director,0.576,0,Rejected,2023-01-03,2024-01-02,0.062,Property,Revolving,Business Expansion
3,2023-01-03,1860,4351278,Payment,387935.2,GBP,1.3584,526971.18,Corporate,Healthcare,Asia,USA,New York,871,Failed,862,Manager,0.64,0,Approved,2023-01-04,2024-01-03,0.095,None,Long-term,Working Capital
4,2023-01-04,2294,3342035,Payment,67099.02,EUR,0.7326,49156.74,SME,Healthcare,North America,Brazil,New York,700,Pending,998,Director,0.408,0,Pending,2023-01-05,2024-01-04,0.09,None,Long-term,Business Expansion
5,2023-01-05,2130,8978450,Withdrawal,20136.33,EUR,0.6155,12393.91,Corporate,Manufacturing,Asia,Japan,Sao Paulo,276,Failed,737,Associate,0.675,0,Rejected,2023-01-06,2024-01-05,0.079,Property,Short-term,Equipment Purchase
6,2023-01-06,2095,6703394,Deposit,827031.7,EUR,0.8261,683210.89,SME,Healthcare,South America,Brazil,Tokyo,303,Failed,846,Director,0.396,0,Approved,2023-01-07,2024-01-06,0.035,Bonds,Installment,Working Capital
7,2023-01-07,4772,8240947,Deposit,525210.9,JPY,0.7204,378361.93,SME,Manufacturing,North America,USA,Sao Paulo,745,Completed,749,Manager,0.477,1,Approved,2023-01-08,2024-01-07,0.032,Property,Short-term,Debt Refinancing
8,2023-01-08,4092,3768362,Transfer,775468.81,USD,1.4253,1105275.69,Retail,Technology,Asia,Japan,Tokyo,693,Completed,148,Director,0.103,1,Approved,2023-01-09,2024-01-08,0.085,Stocks,Installment,Business Expansion
9,2023-01-09,2638,2170365,Withdrawal,235191.17,JPY,1.368,321741.52,Retail,Healthcare,South America,Japan,Sao Paulo,632,Failed,991,Director,0.008,0,Rejected,2023-01-10,2024-01-09,0.026,None,Long-term,Business Expansion
10,2023-01-10,3169,6931161,Payment,345738.66,EUR,0.9997,345634.94,Retail,Healthcare,South America,Germany,Sao Paulo,227,Pending,285,Manager,0.055,1,Pending,2023-01-11,2024-01-10,0.065,None,Long-term,Equipment Purchase
